hour,grid_in,grid_out,batt_ch,batt_dis,SOC,curtail,pv,load,p2p_buy,p2p_sell,L_DR,SDR,p2p_price_buy,p2p_price_sell,price_buy,price_sell,cost_hour,pv_to_load,pv_to_batt,pv_to_grid
1,35.6422,0.0,0.0,0.0,40.0,0.0,0.0,32.402,0.0,0.0,35.6422,0.0,0.24,0.1,0.24,0.1,8.554128,0.0,0,0.0
2,29.474500000000003,0.0,0.0,0.0,40.0,0.0,0.0,26.795,0.0,0.0,29.474500000000003,0.0,0.24,0.1,0.24,0.1,7.07388,0.0,0,0.0
3,29.537200000000002,0.0,0.0,0.0,40.0,0.0,0.0,26.852,0.0,0.0,29.537200000000002,0.0,0.24,0.1,0.24,0.1,7.088928,0.0,0,0.0
4,29.7275,0.0,0.0,0.0,40.0,0.0,0.0,27.025,0.0,0.0,29.7275,0.0,0.24,0.1,0.24,0.1,7.1346,0.0,0,0.0
5,29.80765182326416,0.0,0.0,0.0,40.0,0.0,0.0001481767358408,27.098,0.0,0.0,29.8078,0.0,0.24,0.1,0.24,0.1,7.153836437583398,0.0001481767358408,0,0.0
6,76.43318554536532,0.0,40.0,0.0,76.0,0.0,0.0021144546346735,33.123,0.0,0.0,36.4353,0.0,0.24,0.1,0.24,0.1,18.343964530887675,0.0021144546346735,0,0.0
7,40.58050607961497,0.0,0.0,-0.0,76.0,0.0,0.0099939203847816,42.416,0.0,0.0,40.59049999999975,0.0,0.34,0.1,0.34,0.1,13.797372067069091,0.0099939203847816,0,0.0
8,2.960770918387375,0.0,0.0,40.0,31.555555555555554,0.0,0.0259290816126242,47.763,0.0,0.0,42.9867,0.0,0.48,0.1,0.48,0.1,1.42117004082594,0.0259290816126242,0,0.0
9,18.695574642896673,0.0,0.0,13.999999999999998,16.0,0.0,0.050025357103329,36.384,0.0,0.0,32.7456,0.0,0.48,0.1,0.48,0.1,8.973875828590403,0.050025357103329,0,0.0
10,29.228786979567662,0.0,0.0,0.0,16.0,0.0,0.0680130204323389,32.552,0.0,0.0,29.2968,0.0,0.48,0.1,0.48,0.1,14.029817750192477,0.0680130204323389,0,0.0
11,32.38262636111976,0.0,0.0,0.0,16.0,0.0,0.0803736388802421,36.07,0.0,0.0,32.463,0.0,0.48,0.1,0.48,0.1,15.543660653337485,0.0803736388802421,0,0.0
12,37.23322330290532,0.0,0.0,0.0,16.0,0.0,0.0861766970946822,41.466,0.0,0.0,37.3194,0.0,0.48,0.1,0.48,0.1,17.871947185394554,0.0861766970946822,0,0.0
13,41.75119233294423,0.0,0.0,0.0,16.0,0.0,0.0844076670557717,46.484,0.0,0.0,41.8356,0.0,0.48,0.1,0.48,0.1,20.04057231981323,0.0844076670557717,0,0.0
14,36.557561395616084,0.0,0.0,-0.0,16.0,0.0,0.0760386043839169,40.704,0.0,0.0,36.6336,0.0,0.48,0.1,0.48,0.1,17.54762946989572,0.0760386043839169,0,0.0
15,37.226743936178124,0.0,0.0,-0.0,16.0,0.0,0.0611560638218763,41.431,0.0,0.0,37.2879,0.0,0.48,0.1,0.48,0.1,17.8688370893655,0.0611560638218763,0,0.0
16,42.24693577889321,0.0,0.0,-0.0,16.0,0.0,0.0422642211067877,46.988,0.0,0.0,42.2892,0.0,0.48,0.1,0.48,0.1,20.27852917386874,0.0422642211067877,0,0.0
17,52.86096604994379,0.0,0.0,-0.0,16.0,0.0,0.020333950056204,58.757,0.0,0.0,52.881299999999996,0.0,0.48,0.1,0.48,0.1,25.37326370397302,0.020333950056204,0,0.0
18,63.026652148318206,0.0,0.0,0.0,16.0,0.0,0.0066478516817985,70.037,0.0,0.0,63.033300000000004,0.0,0.48,0.1,0.48,0.1,30.252793031192738,0.0066478516817985,0,0.0
19,75.30609905144834,0.0,0.0,0.0,16.0,0.0,0.0014009485516645,83.675,0.0,0.0,75.3075,0.0,0.48,0.1,0.48,0.1,36.1469275446952,0.0014009485516645,0,0.0
20,109.26409330200174,0.0,0.0,0.0,16.0,0.0,6.697998270644185e-06,99.331,0.0,0.0,109.26410000000001,0.0,0.34,0.1,0.34,0.1,37.1497917226806,6.697998270644185e-06,0,0.0
21,121.24860000000001,0.0,-0.0,0.0,16.0,0.0,0.0,110.226,0.0,0.0,121.24860000000001,0.0,0.34,0.1,0.34,0.1,41.22452400000001,0.0,0,0.0
22,104.66720000000001,0.0,0.0,-0.0,16.0,0.0,0.0,95.152,0.0,0.0,104.66720000000001,0.0,0.34,0.1,0.34,0.1,35.586848,0.0,0,0.0
23,78.48280000000001,0.0,-0.0,0.0,16.0,0.0,0.0,71.348,0.0,0.0,78.48280000000001,0.0,0.24,0.1,0.24,0.1,18.835872000000002,0.0,0,0.0
24,83.00206666666666,0.0,26.666666666666664,0.0,40.0,0.0,0.0,51.214,0.0,0.0,56.3354,0.0,0.24,0.1,0.24,0.1,19.920496,0.0,0,0.0
