hour,grid_in,grid_out,batt_ch,batt_dis,SOC,curtail,pv,load,price_buy,price_sell,cost_hour,pv_to_load,pv_to_batt,pv_to_grid
1,32.402,0.0,0.0,0.0,40.0,0.0,0.0,32.402,0.24,0.1,7.77648,0.0,0,0.0
2,26.795,0.0,0.0,0.0,40.0,0.0,0.0,26.795,0.24,0.1,6.4308000000000005,0.0,0,0.0
3,26.852,0.0,0.0,0.0,40.0,0.0,0.0,26.852,0.24,0.1,6.4444799999999995,0.0,0,0.0
4,27.025,0.0,0.0,0.0,40.0,0.0,0.0,27.025,0.24,0.1,6.486,0.0,0,0.0
5,27.097851823264158,0.0,0.0,0.0,40.0,0.0,0.0001481767358408,27.098,0.24,0.1,6.503484437583397,0.0001481767358408,0,0.0
6,73.12088554536533,0.0,40.0,0.0,76.0,0.0,0.0021144546346735,33.123,0.24,0.1,17.549012530887676,0.0021144546346735,0,0.0
7,42.40600607961522,0.0,-0.0,0.0,76.0,0.0,0.0099939203847816,42.416,0.34,0.1,14.418042067069175,0.0099939203847816,0,0.0
8,7.737070918387374,0.0,0.0,40.0,31.555555555555554,0.0,0.0259290816126242,47.763,0.48,0.1,3.7137940408259396,0.0259290816126242,0,0.0
9,22.33397464289667,0.0,0.0,13.999999999999998,16.0,0.0,0.050025357103329,36.384,0.48,0.1,10.720307828590402,0.050025357103329,0,0.0
10,32.48398697956766,0.0,0.0,-0.0,16.0,0.0,0.0680130204323389,32.552,0.48,0.1,15.592313750192476,0.0680130204323389,0,0.0
11,35.98962636111976,0.0,0.0,-0.0,16.0,0.0,0.0803736388802421,36.07,0.48,0.1,17.275020653337485,0.0803736388802421,0,0.0
12,41.37982330290532,0.0,0.0,-0.0,16.0,0.0,0.0861766970946822,41.466,0.48,0.1,19.862315185394554,0.0861766970946822,0,0.0
13,46.39959233294423,0.0,0.0,-0.0,16.0,0.0,0.0844076670557717,46.484,0.48,0.1,22.27180431981323,0.0844076670557717,0,0.0
14,40.62796139561608,0.0,0.0,0.0,16.0,0.0,0.0760386043839169,40.704,0.48,0.1,19.501421469895718,0.0760386043839169,0,0.0
15,41.36984393617812,0.0,0.0,0.0,16.0,0.0,0.0611560638218763,41.431,0.48,0.1,19.8575250893655,0.0611560638218763,0,0.0
16,46.94573577889321,0.0,0.0,0.0,16.0,0.0,0.0422642211067877,46.988,0.48,0.1,22.53395317386874,0.0422642211067877,0,0.0
17,58.73666604994379,0.0,0.0,0.0,16.0,0.0,0.020333950056204,58.757,0.48,0.1,28.19359970397302,0.020333950056204,0,0.0
18,70.0303521483182,0.0,0.0,0.0,16.0,0.0,0.0066478516817985,70.037,0.48,0.1,33.61456903119274,0.0066478516817985,0,0.0
19,83.67359905144833,0.0,0.0,0.0,16.0,0.0,0.0014009485516645,83.675,0.48,0.1,40.1633275446952,0.0014009485516645,0,0.0
20,99.33099330200173,0.0,0.0,0.0,16.0,0.0,6.697998270644185e-06,99.331,0.34,0.1,33.77253772268059,6.697998270644185e-06,0,0.0
21,110.226,0.0,-0.0,0.0,16.0,0.0,0.0,110.226,0.34,0.1,37.47684,0.0,0,0.0
22,95.152,0.0,0.0,-0.0,16.0,0.0,0.0,95.152,0.34,0.1,32.35168,0.0,0,0.0
23,71.348,0.0,-0.0,0.0,16.0,0.0,0.0,71.348,0.24,0.1,17.12352,0.0,0,0.0
24,77.88066666666666,0.0,26.666666666666664,0.0,40.0,0.0,0.0,51.214,0.24,0.1,18.691359999999996,0.0,0,0.0
