Strategy,Cost_total,Import_total,Export_total,PV_total,Load_total,pv_self,SCR,SelfSufficiency,PeakGrid,BatteryCycles
MSC,458.3241885493658,1237.3446363151318,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0445730371033987,110.226,0.3375
TOU,458.3241885493658,1237.3446363151318,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0445730371033987,110.226,0.3375
MMR,461.8596061768349,275.41165996866835,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0710156920438905,99.33099330200172,0.54
DRP2P,447.21326454936576,1237.3446363151315,0.0,0.6150303515348026,1225.2929999999997,0.6150303515348026,1.0,0.0445730371033987,121.2486,0.3375
MSC,458.3241885493658,1237.3446363151318,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0445730371033987,110.226,0.3375
MSC,458.3241885493658,1237.3446363151318,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0445730371033987,110.226,0.3375
TOU,458.3241885493658,1237.3446363151318,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0445730371033987,110.226,0.3375
MMR,461.8596061768349,275.41165996866835,0.0,0.6150303515348026,1225.293,0.6150303515348026,1.0,0.0710156920438905,99.33099330200172,0.54
DRP2P,447.21326454936576,1237.3446363151315,0.0,0.6150303515348026,1225.2929999999997,0.6150303515348026,1.0,0.04457303710339879,121.24860000000001,0.3375
